Tiempo,Extension,Carga
0.00000,0.00000,-0.00288
0.10000,0.00229,-0.00118
0.20000,0.00937,0.00647
0.30000,0.01937,0.01917
0.40000,0.02937,0.03354
0.50000,0.03917,0.04614
0.60000,0.04854,0.05757
0.70000,0.05750,0.06945
0.80000,0.06625,0.07874
0.90000,0.07479,0.08982
1.00000,0.08333,0.09865
1.10000,0.09167,0.10840
1.20000,0.10000,0.11806
1.30000,0.10833,0.12511
1.40000,0.11646,0.13437
1.50000,0.12500,0.14223
1.60000,0.13333,0.15007
1.70000,0.14167,0.15906
1.80000,0.15000,0.16599
1.90000,0.15812,0.17627
2.00000,0.16646,0.18351
2.10000,0.17500,0.18992
2.20000,0.18333,0.19516
2.30000,0.19167,0.20469
2.40000,0.20000,0.21149
2.50000,0.20854,0.21884
2.60000,0.21708,0.22625
2.70000,0.22521,0.23248
2.80000,0.23333,0.23804
2.90000,0.24167,0.24584
3.00000,0.25000,0.25162
3.10000,0.25854,0.25822
3.20000,0.26667,0.26392
3.30000,0.27479,0.27002
3.40000,0.28333,0.27684
3.50000,0.29187,0.28313
3.60000,0.30021,0.28918
3.70000,0.30854,0.29458
3.80000,0.31646,0.29982
3.90000,0.32500,0.30665
4.00000,0.33354,0.31165
4.10000,0.34208,0.31807
4.20000,0.35021,0.32175
4.30000,0.35833,0.32848
4.40000,0.36667,0.33511
4.50000,0.37521,0.33874
4.60000,0.38354,0.34532
4.70000,0.39167,0.34964
4.80000,0.39979,0.35419
4.90000,0.40833,0.36127
5.00000,0.41708,0.36569
5.10000,0.42542,0.37077
5.20000,0.43312,0.37576
5.30000,0.44146,0.38043
5.40000,0.45000,0.38583
5.50000,0.45854,0.39132
5.60000,0.46687,0.39596
5.70000,0.47479,0.40004
5.80000,0.48312,0.40497
5.90000,0.49187,0.41058
6.00000,0.50062,0.41531
6.10000,0.50875,0.42034
6.20000,0.51646,0.42361
6.30000,0.52479,0.42986
6.40000,0.53354,0.43524
6.50000,0.54208,0.44022
6.60000,0.55021,0.44358
6.70000,0.55812,0.44661
6.80000,0.56667,0.45149
6.90000,0.57521,0.45737
7.00000,0.58375,0.46161
7.10000,0.59187,0.46669
7.20000,0.59979,0.46999
7.30000,0.60812,0.47604
7.40000,0.61708,0.48049
7.50000,0.62542,0.48417
7.60000,0.63354,0.48771
7.70000,0.64167,0.49348
7.80000,0.65000,0.49764
7.90000,0.65854,0.50259
8.00000,0.66687,0.50730
8.10000,0.67500,0.51059
8.20000,0.68312,0.51398
8.30000,0.69146,0.51964
8.40000,0.70021,0.52470
8.50000,0.70854,0.52892
8.60000,0.71687,0.53272
8.70000,0.72500,0.53638
8.80000,0.73354,0.54052
8.90000,0.74187,0.54575
9.00000,0.75021,0.54939
9.10000,0.75854,0.55314
9.20000,0.76667,0.55808
9.30000,0.77521,0.56167
9.40000,0.78375,0.56561
9.50000,0.79187,0.56980
9.60000,0.80000,0.57309
9.70000,0.80833,0.57676
9.80000,0.81687,0.58199
9.90000,0.82521,0.58609
10.00000,0.83354,0.59008
10.10000,0.84187,0.59333
10.20000,0.85000,0.59716
10.30000,0.85833,0.60128
10.40000,0.86667,0.60652
10.50000,0.87500,0.61066
10.60000,0.88312,0.61362
10.70000,0.89146,0.61846
10.80000,0.90000,0.62252
